33.555,162.95,136.87,138.46,1059.1,12.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.333,79.355,29.773,72.794,114.48,82.62,101.2,276.91,477.35,427.17,432.33,222.72,57.162,71.46,27.859,0,0,0,0,0,0,0,0
26.719,114.92,149.72,128.54,1156.2,42.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.874,97.602,91.707,66.298,122.22,367.87,153.47,231.53,408.94,21.824,416.72,463.63,124.43,7.0179,156.56,305.5,0,0,0,0,0,0,0
22.269,78.622,156.2,132.89,1194.7,75.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.394,110.43,322.62,216.35,94.872,155.3,166.15,233.13,159.3,97.485,356.53,89.357,343.56,596.69,141.27,39.976,224.09,437.51,65.472,0,0,0,0,0,0
18.963,56.901,190.66,129,1194,85.18,0,0,0,0,0,0,0,0,0,0,0,0,329.89,517.91,406.5,159.25,184.2,230.15,228.82,347.04,236.09,75.284,157.79,148.33,184.97,82.947,204.09,186.88,117.98,253.41,639.58,149.93,42.878,91.994,297.6,264.21,36.785,0,19.87,129.87,0,0
18.278,47.521,208.41,90.547,1165.9,97.117,0,0,0,0,0,0,0,0,0,148.14,435.58,630.25,526.37,202.46,542.01,448.9,218.96,108.56,94.741,188.57,180.79,46.785,77.028,349.55,137.34,118.78,198.44,57.846,166.36,336.26,419.56,167.37,44.085,73.772,217.53,209.41,311.25,0,78.13,207.65,0,0
19.335,47.649,200.47,78.45,1182.5,81.222,0,0,0,0,0,0,0,0,163.77,463.43,304.95,180.06,166.22,85.769,160.11,184.17,164.36,47.732,44.67,96.861,77.426,126.09,110.71,364.28,177.19,177.69,100.26,29.47,299.74,414.9,152.55,182.23,53.562,26.495,86.096,220.18,328.65,0,66.219,180.25,0,0
21.718,66.544,184.2,84.132,1264,39.385,0,0,0,0,0,0,0,0,209.89,265.72,177.83,88.398,104.79,71.282,101.65,139.26,119.69,56.341,44.281,60.68,145.42,236.05,204.81,83.666,150.01,71.66,94.45,83.376,307.47,338.75,307.94,192.21,48.9,41.259,60.381,102.32,197.42,59.406,24.077,104.51,0,0
30.2,84.394,168.14,116.16,1250.2,56.917,0,0,0,0,0,0,0,0,105.26,604.83,286.52,181.6,141.01,153.5,103.51,198.25,272.95,457.07,215.91,75.383,137.75,211.4,176.86,141.67,174.22,85.785,74.488,235.6,359.81,253.62,323.1,138.97,28.639,43.337,52.653,74.233,84.317,82.453,9.0462,72.894,0,0
46.503,91.518,151.96,178.42,1003.3,206.37,0,0,0,0,0,0,0,0,0,689.43,722.36,473.15,336.89,276.24,189.58,168.42,239.26,285.82,211.55,181.71,57.169,93.904,103.21,83.628,82.716,130.64,72.3,428.25,412.92,270.34,70.1,52.809,28.318,56.981,58.505,51.574,90.687,56.681,0,0,0,0
71.735,104.55,134.82,201.65,753.33,448.93,0,0,0,0,0,0,0,0,0,0,230.52,174.97,385.65,382.37,203.92,269.8,132.69,313.22,377.97,342.27,590.77,293.25,86.892,137.59,165.69,321.63,340.09,479.3,307.6,416.05,59.688,34.555,25.35,57.88,61.12,67.033,104.95,0,0,0,0,0
95.454,112.78,100.36,169.85,696.55,522.68,0,0,0,0,0,0,0,0,0,0,0,18.878,15.866,275.28,260.89,413.3,546.67,730.03,558.13,528.6,456.91,677.89,398.74,357.18,420.36,327.67,185.33,274.55,466.83,427.07,96.181,31.059,33.752,22.009,37.458,65.569,105.51,0,0,0,0,0
109.78,107.14,64.685,131.71,635.98,759.89,0,0,0,0,0,0,0,0,0,0,0,80.085,52.397,108.85,169.41,107.2,136.19,173.53,211.81,607.4,642.53,801.91,710.95,575.9,253.97,193.29,245.06,301.86,568.12,806.28,115.5,25.384,25.077,18.945,33.043,53.763,71.371,0,0,0,0,0
118.26,106.67,54.093,97.999,390.05,903.8,0,0,0,0,0,0,0,0,0,0,0,307.32,507.04,370.71,56.145,0,0,2.4008,120.7,193.37,395.21,626.09,523.16,344.27,181.53,208.49,311.9,723.36,591.68,806.91,93.157,59.16,41.311,24.176,31.401,49.477,17.254,0,0,5.448,0,0
120.35,122.19,71.245,115.46,274.19,854.45,147.28,0,0,0,0,0,0,0,0,0,0,243.25,544,409.26,256.28,0,0,0,21.019,125.93,370.68,357.72,292.73,159.14,231.15,286.62,939.08,544.02,738.73,594.02,16.207,37.103,48.419,23.999,20.435,52.152,34.118,7.0212,0,10.898,0,0
