x, y
-74.68508287292818, 146.95035460992906
-72.29834254143647, 158.53427895981088
-69.91160220994476, 170.44917257683215
-67.12707182320442, 179.7163120567376
-64.5414364640884, 186.3356973995272
-61.75690607734806, 191.30023640661938
-56.784530386740336, 198.91252955082743
-54.26518932363605, 203.21513002364065
-51.48065893689572, 206.52482269503545
-46.50828324628799, 213.47517730496452
-41.13811750043163, 222.08037825059102
-38.55248214131561, 226.38297872340425
-33.44751178888985, 236.64302600472814
-30.795576063967545, 242.49014635739877
-25.690605711541778, 253.74310144014112
-23.30386538005007, 259.0386097143728
-20.91712504855836, 263.0102409200465
-18.132594661818032, 265.65799505716234
-15.546959302702007, 266.6509028585808
-12.56353388833736, 265.65799505716234
-10.176793556845652, 263.0102409200465
-7.790053225353944, 258.7076404472333
-5.005522838613615, 255.06697850869904
-2.5524821413156076, 250.98502589737552
0.03315321780040392, 247.34436395884123
2.6187885769164296, 241.0559478831911
5.1381235702261705, 229.4720235333093
7.657458563535911, 222.19069965624078
10.44198895027624, 225.16942306049606
13.027624309392266, 234.4365625404015
15.613259668508277, 244.36564055458592
18.39779005524862, 252.19858156028369
20.78453038674033, 257.16312056737587
23.171270718232037, 261.13475177304963
25.756906077348063, 263.12056737588654
28.54143646408839, 264.11347517730496
31.127071823204417, 261.4657210401891
34.044202941557316, 258.1560283687943
36.23204824542472, 255.17730496453902
41.602213991281076, 250.2127659574468
43.9889543227728, 245.2482269503546
46.50829538587706, 242.1591770902593
49.29282577261739, 237.85657661744608
51.87846113173342, 232.89203761035387
54.46409649084944, 229.58234493895907
56.98342541436463, 228.25846787040115
59.56906077348066, 226.60362153470373
61.95580110497238, 226.27265226756427
64.74033149171271, 225.27974446614581
67.52486187845304, 224.61780593186688
70.11049723756906, 223.62489813044843
72.49723756906076, 220.31520545905363
75.08287292817678, 217.3364820547983
77.66850828729281, 214.357758650543
80.25414364640883, 212.04097378056662
82.83977900552486, 211.37903524628769
85.42541436464089, 210.7170967120087
87.81215469613258, 210.05515817772977
