x, y
-87.89429332052752, 167.5547446307265
-85.32796085747508, 171.6058328949564
-82.36680801549149, 171.2773657370987
-80.19529593137018, 172.26276721067174
-77.62896346831774, 176.5328402628215
-75.0626310052653, 183.102183419975
-72.29888835274728, 189.67152657712847
-69.73255588969484, 195.91240257642428
-66.96881323717682, 199.5255413128587
-64.00766039519323, 201.49634426000475
-61.83614831107192, 203.79561436500848
-59.664636226950634, 205.43795015429686
-56.703483384967036, 208.39415457501593
-54.137150921914596, 211.67882615359267
-51.37340826939658, 215.2919648900271
-49.20189618527528, 219.78102273009674
-46.43815353275726, 224.70803009796185
-43.871821069704815, 230.62043893939997
-41.239683202003555, 236.3138680049293
-39.06817111788226, 241.24087537279442
-35.712197896967524, 246.82481705637488
-33.34327562338065, 251.09489010852465
-31.369173728724924, 254.3795616871014
-28.408020886741333, 256.02189747638977
-25.841688423688893, 256.35036463424746
-22.880535581705303, 255.69343031853208
-20.511613308118427, 252.0802915820977
-17.94528084506598, 247.15328421423257
-15.510553166830292, 241.89780968850977
-12.549400324846701, 237.62773663636
-10.377888240725412, 234.67153221564092
-7.614145588207393, 232.37226211063722
-5.047813125154946, 233.35766358421023
-2.2840704726369268, 235.65693368921396
0.0848518009499486, 239.92700674136373
3.0460046429335392, 240.91240821493676
5.612337105985986, 242.8832111620828
7.9812593795728475, 250.766422950667
10.942412221556438, 260.07299075263074
13.311334495143313, 265.6569324362112
15.680256768730189, 267.6277353833572
18.04917904231705, 266.6423339097842
21.01033188430064, 264.0145966469228
23.379254157887516, 260.07299075263074
26.20879619057348, 254.1605819111926
28.57771846416034, 245.94890296475074
31.14405092721279, 235.76642107116282
33.77619481939493, 227.33576736082324
36.53993747191295, 218.7956212565237
38.908859745499825, 212.88321241508555
41.870012587483416, 208.61313936293578
44.04152467160472, 204.01459915292835
46.805267324122724, 200.07299325863627
49.174189597709585, 195.69342781252655
51.93793225022762, 191.75182191823447
54.504264713280065, 189.45255181323074
57.07059717633251, 186.82481455036935
59.63692963938496, 184.19707728750797
62.20326210243741, 180.58393855107354
64.76959456548983, 174.6715297096354
67.33592702854227, 169.41605518391262
69.90225949159472, 167.1167850789089
72.27118176518161, 166.78831792105123
75.2323346071652, 166.45985076319354
77.40384669128647, 166.13138360533588
80.36499953327007, 163.83211350033216
82.73392180685696, 160.87590907961308
85.3002542699094, 158.90510613246704
88.0639969224274, 157.59123750103635
